year,state,state_name,county_fips,county_name,tract_count,total_population,total_adult_population,current_smoking,diabetes,frequent_mental_distress,high_blood_pressure,lack_health_insurance,obesity,physical_inactivity
2023,AK,Alaska,02013,Aleutians East,1,3420,3120,19.2,11.9,15.1,32.6,15.9,34.7,26.9
2023,AK,Alaska,02016,Aleutians West,2,5232,4579,17.098100021838828,10.247958069447478,14.67412098711509,29.536514522821573,12.512535488097837,33.11581131251365,24.536514522821577
2023,AK,Alaska,02020,Anchorage,60,291242,222910,14.357117222197301,8.948486833251087,16.420694002063616,31.37814678569826,9.568746130725406,35.22257861917365,19.95534475797407
2023,AK,Alaska,02050,Bethel,3,18666,12130,30.771393239901073,13.443825226710635,21.94446826051113,36.573124484748554,15.937477328936522,38.68822753503709,33.06911788953009
2023,AK,Alaska,02060,Bristol Bay,1,844,658,17.4,10.8,15.799999999999999,35.1,8.8,35.9,21.7
2023,AK,Alaska,02063,Chugach,2,7102,5456,15.234549120234604,8.717137096774195,15.007019794721408,31.110117302052785,8.7862353372434,31.165725806451615,20.406744868035194
2023,AK,Alaska,02066,Copper River,1,2617,2031,18.8,11.8,15.4,39.2,9.1,34.6,23.4
2023,AK,Alaska,02068,Denali,1,1619,1291,16.4,8.6,15.1,33.1,8.6,31.3,20.7
2023,AK,Alaska,02070,Dillingham,2,4857,3319,25.649834287435972,12.50864718288641,19.512322988852063,33.60129557095511,12.908647182886412,38.29026815305815,28.613618559807172
2023,AK,Alaska,02090,Fairbanks North Star,22,95655,72748,14.145628745807446,7.861010611975586,16.286810633969317,29.89093858250398,9.622407488865672,35.253506625611706,21.175296915379118
2023,AK,Alaska,02100,Haines,1,2080,1702,14.2,10.4,13.8,37.6,7.4,34.3,19.8
2023,AK,Alaska,02105,Hoonah-Angoon,1,2365,1845,20.1,14,15.6,41.3,9.9,37.1,26.1
2023,AK,Alaska,02110,Juneau,6,32255,25367,14.319836795837112,8.613103638585564,15.315043166318443,31.369314463673277,8.456297551937556,35.31355698348248,17.280297236567197
2023,AK,Alaska,02122,Kenai Peninsula,14,58799,45987,16.503442277165288,9.90786309174332,14.98028355839694,35.51060082197143,9.578130776088896,32.60116337225738,21.422243242655536
2023,AK,Alaska,02130,Ketchikan Gateway,5,13948,10855,16.782818977429752,10.096204514048827,15.622385997236297,34.31633348687241,9.150870566559188,38.331312759097194,21.912869645324736
2023,AK,Alaska,02150,Kodiak Island,5,13101,9874,15.526281142394167,9.499048004861251,15.032296941462427,30.549341705489166,10.246809803524407,32.33019039902775,22.327111606238606
2023,AK,Alaska,02158,Kusilvak,1,8368,4947,36.2,15.5,25.2,36.9,18.1,46.1,36.6
2023,AK,Alaska,02164,Lake and Peninsula,1,1476,1025,25.8,12.7,19.9,34.5,12.4,40.1,28.1
2023,AK,Alaska,02170,Matanuska-Susitna,24,107081,78081,17.76572789795213,9.27289097219554,16.46173973181696,32.42843201290967,9.566437417553566,37.84997502593461,22.986624146719432
2023,AK,Alaska,02180,Nome,2,10046,6751,29.356302769960006,12.831047252258923,20.954732632202635,33.06578284698563,13.638942378906828,38.683676492371504,29.237357428529105
2023,AK,Alaska,02185,North Slope,3,11031,8179,21.264115417532707,10.046325956718425,17.626201247096223,32.472490524514,11.965191343685047,42.30441374251131,23.793605575253697
2023,AK,Alaska,02188,Northwest Arctic,2,7793,4986,28.956157240272763,13.395226634576817,21.567368632170076,35.096891295627756,14.028078620136382,40.6985559566787,29.738066586442038
2023,AK,Alaska,02195,Petersburg,1,3398,2685,15.4,10.2,14.8,35.5,9.4,31.4,21.2
2023,AK,Alaska,02198,Prince of Wales-Hyder,4,5753,4383,22.637280401551447,13.721332420716404,17.333744010951403,38.719803787360256,10.83709787816564,38.75395847592972,26.149463837554187
2023,AK,Alaska,02220,Sitka,2,8458,6714,14.275186178135241,9.56166219839142,14.81277926720286,32.986476020256184,8.53684837652666,30.13833780160858,18.798510574918083
2023,AK,Alaska,02230,Skagway,1,1240,993,16.2,8.2,15.4,31.4,8.8,36.4,19.9
2023,AK,Alaska,02240,Southeast Fairbanks,2,6808,5223,18.462952326249283,10.48564043653073,16.10809879379667,36.27869040781161,11.01573808156232,35.724066628374494,25.92475588742102
2023,AK,Alaska,02275,Wrangell,1,2127,1707,18,12.1,15.8,38.9,9.6,35.8,23.9
2023,AK,Alaska,02282,Yakutat,1,662,534,21.5,13.2,16.5,39.2,11.1,35.5,26.5
2023,AK,Alaska,02290,Yukon-Koyukuk,4,5343,3918,28.809698825931598,16.215900969882593,19.549897907095456,40.84275140377744,13.037825421133231,37.82960694231752,29.154262378764674
2023,AL,Alabama,01001,Autauga,17,58805,44523,14.772068369157514,13.162823709094177,17.33651146598387,41.3201379062507,8.836154347191338,39.67509601778856,26.897024010062214
2023,AL,Alabama,01003,Baldwin,43,231767,182471,13.242079015295584,13.357973047771976,15.27605427711801,43.64742616634972,8.335390281195371,35.170235818294415,25.32506535285059
2023,AL,Alabama,01005,Barbour,9,25223,20134,20.595614383629684,19.83752359193404,18.60086917651733,50.51282904539585,14.154554484950829,47.235293533326704,36.16920135094864
2023,AL,Alabama,01007,Bibb,8,22293,17533,20.45381281012947,16.06020646780357,19.270849255689274,45.8295100667313,12.582820966178065,44.16620658187418,33.21559915587748
2023,AL,Alabama,01009,Blount,16,59134,45403,16.915034248838182,13.723260577494878,17.780005726493844,41.083056185714604,11.374087615355814,36.21354315794111,29.021804726559917
2023,AL,Alabama,01011,Bullock,4,10357,8356,26.546182383915752,25.321744853997128,20.722630445189083,57.54161081857348,17.69967687888942,52.43642891335567,45.05022738152226
2023,AL,Alabama,01013,Butler,9,19051,14903,18.56777158961283,19.012735690800508,18.361215862578007,51.1365429779239,11.049929544387037,40.4581426558411,36.842716231631215
2023,AL,Alabama,01015,Calhoun,35,116431,92283,16.741058483144243,14.984085909647499,18.768320275673748,45.01818103009221,10.704332325563756,38.781439701786894,32.44844879338556
2023,AL,Alabama,01017,Chambers,9,34772,27791,17.78135367565039,17.80974776006621,18.315141592601922,48.304972832931526,11.652995574106725,41.29703141304739,34.05005577345184
2023,AL,Alabama,01019,Cherokee,8,24971,20169,17.95895681491398,16.025325995339383,17.73565372601517,45.659938519510135,9.859298924091426,39.751717983043285,31.441623283256487
2023,AL,Alabama,01021,Chilton,12,45014,34385,17.2228878871601,14.184324560127962,18.3868809073724,43.223655663806895,11.728782899520139,40.172938781445396,31.316184382725027
2023,AL,Alabama,01023,Choctaw,4,12665,10168,18.752232494099133,20.12367230527144,18.0345397324941,52.629799370574354,10.859962627852086,44.95252753737215,36.19187647521637
2023,AL,Alabama,01025,Clarke,9,23087,18249,17.85320291522823,18.57274919173653,17.965209052550822,49.86994903830347,10.709430653734453,44.131212669187356,34.38742944818894
2023,AL,Alabama,01027,Clay,4,14236,11299,18.429799097265242,16.63998583945482,18.072201079741568,47.63723338348526,11.044340207097973,42.57490928400744,32.64419860164616
2023,AL,Alabama,01029,Cleburne,4,15056,11620,18.08526678141136,14.85037005163511,18.225507745266782,43.26665232358003,9.979896729776247,37.65351118760757,30.7052495697074
2023,AL,Alabama,01031,Coffee,16,53465,40774,16.685549614950702,14.832621278265563,17.905915534409182,43.224366017560214,11.401236081816846,40.77052533477216,29.986577230588118
2023,AL,Alabama,01033,Colbert,15,57227,45078,16.536061937086828,15.177339278583787,17.582783175828567,44.25030391765384,9.712032477039799,37.675411508940066,28.625489152136296
2023,AL,Alabama,01035,Conecuh,5,11597,9277,21.05051201897165,21.780198339980597,18.635388595451115,54.166325320685566,12.29476123746901,46.6108871402393,38.920049584995155
2023,AL,Alabama,01037,Coosa,3,10387,8603,18.530826455887482,18.003347669417643,17.487155643380216,49.052470068580725,10.937684528652795,42.401255376031614,33.148029757061494
